run,date,start_time,ebeam,current,target,hms_p,hms_th,shms_p,shms_th,ps1,ps2,ps3,ps4,ps5,ps6,run_type,comment
23834,07/15,23:26,8.5831,5.0,HOLE,2.28,42.0,-7.07,12.465,0,-1,0,-1,-1,-1,HOLE,!First real RSIDIS run!!!
23835,07/15,23:58,8.5831,5.0,HOLE,2.28,42.0,-7.07,12.465,0,-1,0,-1,-1,-1,HOLE,0
23837,07/16,00:43,8.5831,5.0,HOLE,2.28,42.0,-7.07,12.465,0,-1,0,-1,-1,-1,HOLE,EDTM is off; 3x3 raster look good
23838,07/16,00:51,8.5831,5.0,HOLE,2.28,42.0,-7.07,12.465,0,-1,0,-1,-1,-1,HOLE,2X2 raster look good
23839,07/16,05:51,8.5831,5.0,LH2,2.28,42.0,-7.07,12.465,-1,-1,-1,-1,0,-1,SHMSHEEP,"Changed to LH2 target;Beam trips above 5uA, so kept running at 5uA"
23840,07/16,06:46,8.5831,5.0,LH2,2.28,42.0,-7.07,12.465,-1,-1,-1,-1,0,-1,SHMSHEEP,0
23841,07/16,07:22,8.5831,25.0,LH2,2.28,42.0,-7.07,12.465,-1,-1,-1,-1,0,-1,SHMSHEEP,Current changed from 5uA to 25uA  in the middle of the run
23842,07/16,08:37,8.5831,35.0,LH2,2.28,42.0,-7.07,12.465,-1,-1,-1,-1,0,-1,SHMSHEEP,"pushed to max current, current was up to 40uA"
23844,07/16,09:46,8.5831,30.0,LH2,2.28,42.0,-7.07,12.465,-1,-1,-1,-1,0,-1,SHMSHEEP,0
23845,07/16,10:18,8.5831,30.0,LH2,2.28,42.0,-7.07,12.465,-1,-1,-1,-1,0,-1,SHMSHEEP,current 30-50uA
23846,07/16,10:49,8.5831,40.0,LH2,2.28,42.0,-7.07,12.465,-1,-1,-1,-1,0,-1,SHMSHEEP,current vary around 40uA
23847,07/16,11:22,8.5831,40.0,LH2,2.28,42.0,-7.07,12.465,-1,-1,-1,-1,0,-1,SHMSHEEP,current vary from 40-50uA
23848,07/16,11:54,8.5831,40.0,LH2,2.28,42.0,-7.07,12.465,-1,-1,-1,-1,0,-1,SHMSHEEP,current vary from 40-50uA
23849,07/16,13:28,8.5831,40.0,LH2,3.75,29.99,-5.67,19.34,-1,-1,-1,-1,0,-1,SHMSHEEP,"detectors changed to low rate elastic p(e,e'p) setting; current 30-50uA"
23850,07/16,14:01,8.5831,40.0,LH2,3.75,29.99,-5.67,19.34,-1,-1,-1,-1,0,-1,SHMSHEEP,current 30-50uA
23851,07/16,14:33,8.5831,40.0,LH2,3.75,29.99,-5.67,19.34,-1,-1,-1,-1,0,-1,SHMSHEEP,current 30-50uA
23853,07/16,16:12,8.5831,max,LH2,-4.5,14.0,-4.5,13.995,-1,-1,5,-1,-1,-1,HMSDIS,"changed to DIS setting at x=0.3, Q2=2.3, W=2.5;No clear current recorded"
23855,07/16,16:31,8.5831,max,LH2,-4.5,14.0,-4.5,13.995,-1,-1,-1,4,-1,-1,HMSDIS,No clear current recorded
23856,07/16,16:46,8.5831,max,LH2,-4.5,14.0,-4.5,13.995,7,-1,-1,-1,-1,-1,SHMSDIS,SHMS run; No clear current recorded
23857,07/16,17:25,8.5831,max,LH2,-4.5,14.0,-4.5,13.995,-1,-1,5,-1,-1,-1,HMSDIS,No clear current recorded
23858,07/16,18:12,8.5831,max,LH2,-4.5,14.0,-4.5,13.995,-1,-1,5,-1,-1,-1,HMSDIS,No clear current recorded
