run,run_type,replay_mode
24040,PI-SIDIS,coin
24041,PI-SIDIS,coin
24112,PI-SIDIS,coin
24117,PI-SIDIS,coin
24123,PI-SIDIS,coin
24208,PI+SIDIS,coin
24621,PI+SIDIS,coin
24647,PI+SIDIS,coin
27107,SHMSHEEP,coin
27113,HMSDIS,hms
27114,HMSDIS,hms
27121,SHMSDIS,shms
27122,PI-SIDIS,coin
27123,PI-SIDIS,coin
27124,PI-SIDIS,coin
27125,PI-SIDIS,coin
27126,PI-SIDIS,coin
27127,PI-SIDIS,coin
27128,PI-SIDIS,coin
27129,PI-SIDIS,coin
27130,PI-SIDIS,coin
27131,PI-SIDIS,coin
27132,PI-SIDIS,coin
27133,PI-SIDIS,coin
27134,HMSDIS,hms
27135,PI-SIDIS,coin
27136,PI-SIDIS,coin
27137,PI-SIDIS,coin
27138,HMSDIS,hms
27139,PI-SIDIS,coin
27140,PI-SIDIS,coin
27141,PI-SIDIS,coin
27142,PI-SIDIS,coin
27143,PI-SIDIS,coin
27144,PI-SIDIS,coin
27145,PI-SIDIS,coin
27146,PI-SIDIS,coin
27147,PI-SIDIS,coin
27148,PI-SIDIS,coin
27149,PI-SIDIS,coin
27150,PI-SIDIS,coin
27151,PI-SIDIS,coin
27152,PI-SIDIS,coin
27153,PI-SIDIS,coin
27154,PI-SIDIS,coin
27155,PI-SIDIS,coin
27156,PI+SIDIS,coin
27157,PI+SIDIS,coin
27158,PI+SIDIS,coin
27159,HMSDIS,hms
27160,PI+SIDIS,coin
27161,HMSDIS,hms
27162,PI+SIDIS,coin
27163,PI+SIDIS,coin
27164,PI+SIDIS,coin
27165,PI+SIDIS,coin
27166,PI+SIDIS,coin
27167,PI+SIDIS,coin
27168,PI+SIDIS,coin
27169,PI+SIDIS,coin
27170,PI+SIDIS,coin
27171,PI+SIDIS,coin
27172,PI+SIDIS,coin
27173,PI+SIDIS,coin
27174,HMSDIS,hms
27175,HMSDIS,hms
27176,PI+SIDIS,coin
27177,PI+SIDIS,coin
27178,PI+SIDIS,coin
27179,HMSDIS,hms
27180,PI+SIDIS,coin
27181,PI+SIDIS,coin
27182,PI+SIDIS,coin
27183,PI+SIDIS,coin
27184,PI+SIDIS,coin
27185,PI+SIDIS,coin
27186,PI+SIDIS,coin
27187,PI+SIDIS,coin
27188,PI+SIDIS,coin
27192,HMSDIS,hms
27218,PI+SIDIS,coin
27224,PI+SIDIS,coin
27225,PI+SIDIS,coin
27226,PI+SIDIS,coin
27227,PI+SIDIS,coin
27228,PI+SIDIS,coin
27229,PI+SIDIS,coin
27230,PI+SIDIS,coin
27231,PI+SIDIS,coin
27232,PI+SIDIS,coin
27233,PI+SIDIS,coin
27234,PI+SIDIS,coin
27235,PI+SIDIS,coin
27236,PI+SIDIS,coin
27237,PI+SIDIS,coin
27238,PI+SIDIS,coin
27239,PI+SIDIS,coin
27240,PI+SIDIS,coin
27241,PI+SIDIS,coin
27242,PI+SIDIS,coin
27243,PI+SIDIS,coin
27244,PI+SIDIS,coin
27245,PI+SIDIS,coin
27246,PI+SIDIS,coin
27247,HMSDIS,hms
27248,HMSDIS,hms
27249,PI+SIDIS,coin
27250,PI+SIDIS,coin
27251,PI+SIDIS,coin
27252,PI+SIDIS,coin
27253,PI+SIDIS,coin
27254,PI+SIDIS,coin
27255,PI+SIDIS,coin
27257,PI+SIDIS,coin
27258,PI+SIDIS,coin
27259,PI+SIDIS,coin
27261,PI+SIDIS,coin
27262,HMSDIS,hms
27264,HMSDIS,hms
27265,PI+SIDIS,coin
27266,PI+SIDIS,coin
27267,PI+SIDIS,coin
27269,PI+SIDIS,coin
27270,HMSDIS,hms
27271,PI+SIDIS,coin
27272,PI+SIDIS,coin
27273,PI+SIDIS,coin
27274,PI+SIDIS,coin
27275,PI+SIDIS,coin
27276,PI+SIDIS,coin
27277,PI+SIDIS,coin
27278,PI+SIDIS,coin
27279,PI+SIDIS,coin
27280,PI+SIDIS,coin
27281,PI+SIDIS,coin
27282,HMSDIS,hms
27283,HMSDIS,hms
27284,HMSDIS,hms
27285,PI+SIDIS,coin
