phase,run,run_type,replay_mode,root_file,t_entries,tsh_last_evnumber,tsh_difference,tsh_flag,tsp_last_evnumber,tsp_difference,tsp_flag,overall_flag,status
phase2,27106,SHMSHEEP,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27106_-1.root,1184817,1184818,1,0,1184818,1,0,0,OK
phase2,27107,SHMSHEEP,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27107_-1.root,84764,84765,1,0,84765,1,0,0,OK
phase2,27108,SHMSHEE,shms,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/shms_coin_replay_production_27108_-1.root,2253641,,,,2253642,1,0,0,OK
phase2,27109,SHMSHEE,shms,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/shms_coin_replay_production_27109_-1.root,3033823,,,,3033824,1,0,0,OK
phase2,27113,HMSDIS,hms,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/hms_coin_replay_production_27113_-1.root,2591144,2591145,1,0,,,,0,OK
phase2,27114,HMSDIS,hms,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/hms_coin_replay_production_27114_-1.root,2071267,2071268,1,0,,,,0,OK
phase2,27115,HMSDIS,hms,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/hms_coin_replay_production_27115_-1.root,1571062,1571063,1,0,,,,0,OK
phase2,27116,SHMSDIS,shms,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/shms_coin_replay_production_27116_-1.root,818658,,,,818659,1,0,0,OK
phase2,27118,HMSDIS,hms,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/hms_coin_replay_production_27118_-1.root,2337098,2337099,1,0,,,,0,OK
phase2,27119,HMSDIS,hms,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/hms_coin_replay_production_27119_-1.root,2701635,2701636,1,0,,,,0,OK
phase2,27120,SHMSDIS,shms,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/shms_coin_replay_production_27120_-1.root,3641708,,,,3641709,1,0,0,OK
phase2,27121,SHMSDIS,shms,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/shms_coin_replay_production_27121_-1.root,2770100,,,,2770101,1,0,0,OK
phase2,27122,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27122_-1.root,314478,314479,1,0,314479,1,0,0,OK
phase2,27123,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27123_-1.root,293272,293273,1,0,293273,1,0,0,OK
phase2,27124,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27124_-1.root,315077,315078,1,0,315078,1,0,0,OK
phase2,27125,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27125_-1.root,268049,268050,1,0,268050,1,0,0,OK
phase2,27126,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27126_-1.root,125156,125157,1,0,125157,1,0,0,OK
phase2,27127,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27127_-1.root,451933,451934,1,0,451934,1,0,0,OK
phase2,27128,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27128_-1.root,102529,102530,1,0,102530,1,0,0,OK
phase2,27129,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27129_-1.root,517439,517440,1,0,517440,1,0,0,OK
phase2,27130,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27130_-1.root,306662,306663,1,0,306663,1,0,0,OK
phase2,27131,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27131_-1.root,321559,321560,1,0,321560,1,0,0,OK
phase2,27132,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27132_-1.root,763481,763482,1,0,763482,1,0,0,OK
phase2,27133,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27133_-1.root,3394078,3394079,1,0,3394079,1,0,0,OK
phase2,27134,HMSDIS,hms,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/hms_coin_replay_production_27134_-1.root,2483314,2483315,1,0,,,,0,OK
phase2,27135,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27135_-1.root,122382,122383,1,0,122383,1,0,0,OK
phase2,27136,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27136_-1.root,121295,121296,1,0,121296,1,0,0,OK
phase2,27137,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27137_-1.root,119580,119581,1,0,119581,1,0,0,OK
phase2,27138,HMSDIS,hms,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/hms_coin_replay_production_27138_-1.root,1322362,1322363,1,0,,,,0,OK
phase2,27139,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27139_-1.root,287429,287430,1,0,287430,1,0,0,OK
phase2,27140,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27140_-1.root,308880,308881,1,0,308881,1,0,0,OK
phase2,27141,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27141_-1.root,314295,314296,1,0,314296,1,0,0,OK
phase2,27142,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27142_-1.root,319811,319812,1,0,319812,1,0,0,OK
phase2,27143,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27143_-1.root,311781,311782,1,0,311782,1,0,0,OK
phase2,27144,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27144_-1.root,307212,307213,1,0,307213,1,0,0,OK
phase2,27145,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27145_-1.root,280256,280257,1,0,280257,1,0,0,OK
phase2,27146,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27146_-1.root,353716,353717,1,0,353717,1,0,0,OK
phase2,27147,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27147_-1.root,316450,316451,1,0,316451,1,0,0,OK
phase2,27148,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27148_-1.root,72673,72674,1,0,72674,1,0,0,OK
phase2,27149,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27149_-1.root,195168,195169,1,0,195169,1,0,0,OK
phase2,27150,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27150_-1.root,111765,111766,1,0,111766,1,0,0,OK
phase2,27151,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27151_-1.root,108022,108023,1,0,108023,1,0,0,OK
phase2,27152,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27152_-1.root,92921,92922,1,0,92922,1,0,0,OK
phase2,27153,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27153_-1.root,101744,101745,1,0,101745,1,0,0,OK
phase2,27154,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27154_-1.root,345175,345176,1,0,345176,1,0,0,OK
phase2,27155,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27155_-1.root,282427,282428,1,0,282428,1,0,0,OK
phase2,27156,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27156_-1.root,140243,140244,1,0,140244,1,0,0,OK
phase2,27157,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27157_-1.root,48950,48951,1,0,48951,1,0,0,OK
phase2,27158,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27158_-1.root,126421,126422,1,0,126422,1,0,0,OK
phase2,27159,HMSDIS,hms,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/hms_coin_replay_production_27159_-1.root,2247975,2247976,1,0,,,,0,OK
phase2,27160,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27160_-1.root,30587,30588,1,0,30588,1,0,0,OK
phase2,27161,HMSDIS,hms,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/hms_coin_replay_production_27161_-1.root,727630,727631,1,0,,,,0,OK
phase2,27162,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27162_-1.root,61882,61883,1,0,61883,1,0,0,OK
phase2,27163,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27163_-1.root,321722,321723,1,0,321723,1,0,0,OK
phase2,27164,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27164_-1.root,315458,315459,1,0,315459,1,0,0,OK
phase2,27165,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27165_-1.root,315967,315968,1,0,315968,1,0,0,OK
phase2,27166,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27166_-1.root,346049,346050,1,0,346050,1,0,0,OK
phase2,27167,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27167_-1.root,343566,343567,1,0,343567,1,0,0,OK
phase2,27168,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27168_-1.root,347694,347695,1,0,347695,1,0,0,OK
phase2,27169,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27169_-1.root,314764,314765,1,0,314765,1,0,0,OK
phase2,27170,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27170_-1.root,297981,297982,1,0,297982,1,0,0,OK
phase2,27171,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27171_-1.root,5723140,5723141,1,0,5723141,1,0,0,OK
